category,count,year_month
cs-HC,186,2025-06
cs-IR,86,2025-06
cs-LG,500,2025-06
cs-RO,300,2025-06
cs-SE,187,2025-06
cs-AI,327,2025-07
cs-CL,500,2025-07
cs-CR,171,2025-07
cs-CV,500,2025-07
cs-CY,80,2025-07
cs-HC,199,2025-07
cs-IR,92,2025-07
cs-LG,500,2025-07
cs-RO,327,2025-07
cs-SE,214,2025-07
cs-AI,419,2025-08
cs-CL,500,2025-08
cs-CR,188,2025-08
cs-CV,500,2025-08
cs-CY,89,2025-08
cs-HC,221,2025-08
cs-IR,136,2025-08
cs-LG,500,2025-08
cs-RO,314,2025-08
cs-SE,149,2025-08
cs-AI,440,2025-09
cs-CL,500,2025-09
cs-CR,261,2025-09
cs-CV,500,2025-09
cs-CY,92,2025-09
cs-HC,239,2025-09
cs-IR,92,2025-09
cs-LG,500,2025-09
cs-RO,500,2025-09
cs-SE,190,2025-09
cs-AI,500,2025-10
cs-CL,500,2025-10
cs-CR,235,2025-10
cs-CV,500,2025-10
cs-CY,108,2025-10
cs-HC,192,2025-10
cs-IR,115,2025-10
cs-LG,500,2025-10
cs-RO,445,2025-10
cs-SE,238,2025-10
cs-AI,432,2025-11
cs-CL,498,2025-11
cs-CR,158,2025-11
cs-CV,500,2025-11
cs-CY,83,2025-11
cs-HC,146,2025-11
cs-IR,79,2025-11
cs-LG,500,2025-11
cs-RO,358,2025-11
cs-SE,175,2025-11
cs-AI,67,2025-12
cs-CL,71,2025-12
cs-CR,44,2025-12
cs-CV,293,2025-12
cs-CY,21,2025-12
cs-HC,22,2025-12
cs-IR,6,2025-12
cs-LG,106,2025-12
cs-RO,48,2025-12
cs-SE,19,2025-12
